Comment,Designator,Footprint,LCSC,Quantity
100nF,"C2,C6",C_0603_1608Metric,C14663,2
30pF,"C4,C5",C_0402_1005Metric,C1570,2
1uF,"C1,C3",C_0603_1608Metric,C15849,2
1N5819WS,D1,D_SOD-323,C191023,1
22K,"R3,R4,R5",R_0402_1005Metric,C25768,3
8K2,"R1,R2,R6",R_0603_1608Metric,C25981,3
SN74CB3T16211,U3,TSSOP-56_6.1x14mm_P0.5mm,C2653275,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
