Comment,Designator,Footprint,LCSC,Quantity
SN74CB3T3384,"U2,U3",TSSOP-24_4.4x7.8mm_P0.65mm,C139357,2
100nF,C2,C_0603_1608Metric,C14663,1
1uF,"C1,C3",C_0603_1608Metric,C15849,2
1N5819WS,D1,D_SOD-323,C191023,1
1K5,"R1,R2,R3,R4,R5,R6,R7,R8",R_0402_1005Metric,C25867,8
8K2,"R10,R9",R_0603_1608Metric,C25981,2
SN74HCT541,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C436096,1
